SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
541285,NXXXVI14G   ,F ,Q,11.28,11.28,11.28,11.28,11.28,11.18,1,140418,1583915.00,
541301,ORIENTELEC  ,A ,Q,185.95,192.40,185.00,188.30,192.30,185.90,302,6327,1184884.00,
541302,DHRUV       ,M ,Q,25.50,26.95,24.65,25.55,26.10,26.00,9,18000,458500.00,
541303,AKSHAR      ,M ,Q,10.00,10.00,10.00,10.00,10.00,10.00,3,9000,90000.00,
541304,INDOUS      ,M ,Q,67.95,68.00,66.90,68.00,68.00,63.95,3,6250,422125.00,
541313,ICICI500    ,B ,Q,156.55,156.60,156.54,156.60,156.60,154.67,9,2827,442586.00,
541336,INDOSTAR    ,A ,Q,167.00,173.00,167.00,168.90,169.00,167.50,351,6466,1095590.00,
541347,PARVATI     ,XT,Q,1.48,1.48,1.48,1.48,1.48,1.55,3,1303,1928.00,
541353,INNOVATORS  ,M ,Q,31.00,31.50,31.00,31.25,31.00,31.05,4,6400,199200.00,
541400,ZIMLAB      ,X ,Q,74.75,74.75,67.00,69.95,67.00,69.30,22,1086,75146.00,
541403,DOLLAR      ,B ,Q,137.70,141.75,137.70,139.50,139.50,134.80,214,851,118193.00,
541445,WAA         ,M ,Q,20.00,20.00,20.00,20.00,20.00,20.50,2,1600,32000.00,
541450,ADANIGREEN  ,A ,Q,127.00,133.35,126.00,132.90,132.90,127.00,4581,322274,42450984.00,
541540,SOLARA      ,B ,Q,432.00,433.15,417.00,418.10,417.30,433.90,156,3139,1322665.00,
541545,TALWGYM     ,B ,Q,3.03,3.06,3.03,3.03,3.03,3.18,34,15352,46615.00,
541546,GAYAHWS     ,T ,Q,0.27,0.27,0.27,0.27,0.27,0.28,1,20,5.00,
541556,RITES       ,A ,Q,267.00,270.00,265.70,267.90,267.40,265.05,318,9294,2492393.00,
541557,FINEORG     ,B ,Q,1822.20,1842.80,1790.00,1796.95,1817.95,1856.30,240,676,1224836.00,
541578,VARROC      ,A ,Q,415.55,420.60,409.55,410.90,410.00,410.70,183,339,139769.00,
541627,HITECHWIND  ,X ,Q,27.65,27.65,25.10,25.10,25.10,26.40,77,12703,331037.00,
541700,TCNSBRANDS  ,A ,Q,664.50,664.50,639.25,643.65,640.00,668.25,67,11222,7322227.00,
541701,SUPERSHAKT  ,M ,Q,342.10,350.00,342.00,350.00,350.00,358.50,6,3000,1044930.00,
541702,ASHNI       ,X ,Q,3.01,3.01,3.01,3.01,3.01,2.87,2,370,1113.00,
541703,GFIL        ,M ,Q,38.00,38.00,38.00,38.00,38.00,40.00,3,4800,182400.00,
541725,IDFCEOS6RG  ,B ,Q,9.70,9.70,9.70,9.70,9.70,9.70,5,21125,204912.00,
541729,HDFCAMC     ,A ,Q,2911.00,3048.00,2892.40,3028.85,3028.85,2890.90,14425,130298,387101955.00,
541744,TVF2G       ,B ,Q,8.65,8.65,8.65,8.65,8.65,8.43,1,2500,21625.00,
541770,CREDITACC   ,B ,Q,796.90,806.00,794.00,804.05,804.05,791.55,686,4132,3308383.00,
541771,AMINTAN     ,XT,Q,0.76,0.76,0.76,0.76,0.76,0.76,2,1000,760.00,
541804,IPRU3168    ,B ,Q,9.00,9.00,8.86,9.00,9.00,9.35,6,21400,190500.00,
541890,SPACEINCUBA ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.50,4,9610,4708.00,
541956,IRCON       ,B ,Q,390.00,395.10,385.40,388.75,393.10,386.20,541,3661,1423389.00,
541972,SETFSN50    ,B ,Q,311.00,311.00,309.24,309.24,309.24,310.55,3,27,8379.00,
541974,MANORAMA    ,M ,Q,330.25,330.50,329.00,330.00,330.00,328.40,9,5400,1780110.00,
541988,AAVAS       ,A ,Q,1816.20,1869.00,1807.90,1839.60,1851.00,1797.30,812,3270,6001505.00,
541999,GENERAAGRI  ,XT,Q,4.46,4.46,4.04,4.04,4.04,4.25,2,326,1369.00,
542011,GRSE        ,B ,Q,204.00,206.80,192.60,196.05,196.05,203.25,2043,34569,6859872.00,
542012,AAL         ,M ,Q,57.85,57.90,57.85,57.90,57.90,58.00,3,10000,578800.00,
542013,DOLFIN      ,M ,Q,44.00,46.00,44.00,46.00,46.00,44.00,2,4000,180000.00,
542025,SUNRETAIL   ,M ,Q,21.50,21.50,21.50,21.50,21.50,23.00,1,3000,64500.00,
542057,BCPL        ,M ,Q,40.05,40.05,38.75,38.75,38.75,42.00,3,12000,472600.00,
